Year,Development_Status,"Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Life expectancy at birth, total (years)",Prevalence of overweight (% of adults),Prevalence of current tobacco use (% of adults),Current health expenditure per capita (current US$),Individuals using the Internet (% of population),GDP per capita (current US$),Access to electricity (% of population),ICT goods exports (% of total goods exports),Urban population (% of total population),"School enrollment, tertiary (% gross)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, secondary (% net)","Primary completion rate, total (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)","Labor force, female (% of total labor force)",Proportion of seats held by women in national parliaments (%),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Mortality rate, infant (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (% of GDP),Births attended by skilled health staff (% of total),People using safely managed drinking water services (% of population)
2001,Least developed,3.7894742762600906,6.913250952380952,11.238734444444447,53.0464,83.53124073156127,73.98845203431833,78.69898164028156,41.71799416083952,8.689154992011474,49.592850571466805,54.113,20.099999999999998,31.804761904761904,27.212178894339626,0.29242966666666664,345.04476386118836,28.900000000000002,0.15264150943396224,26.69366666666667,6.5896739859695215,80.93699188232422,31.97722333333333,76.56531651814781,33.833421499832816,48.04168512679596,11.035304515356126,75.70364023844401,0.9852235422414886,62.53333333333334,69.33333333333333,4.8080910257861635,59.77179487179487,25.25044623581557
2002,Developed,5.116783618927004,19.563370499999998,25.86489863970588,38.13659845890411,9.336336670643432,15.343848257376747,12.677310932747897,8.094299426849805,5.051616480651711,86.8540842687654,78.73926829268294,47.725,22.133928571428573,2518.41320037875,54.63226943877551,28294.716717646414,100.0,15.80125,83.104625,59.52594031938691,94.92857142857144,90.61102241972478,101.2841591932335,97.74414927164712,44.026046777996214,20.85600397836172,92.28571428571428,1.0,4.625,93.25,8.49630851,99.24180107526881,98.38121176982864
2002,Developing,4.047707301567044,15.802390034349507,17.604404582043344,43.44919592156863,53.57388738864364,51.88682582570362,52.40964073557428,20.989254967653004,9.613385970488098,69.39735908195532,68.30457532281206,31.7235294117647,26.76571428571428,108.01466826882354,4.699821176470588,1947.9046918838062,75.87058823529412,9.33311369777593,48.09688235294117,26.31040198354925,84.72720165963553,58.797732458439896,86.04057505674221,72.30120893286055,36.242701913028434,12.912760034189821,81.515811734313,0.9913479456809959,35.370588235294115,81.41176470588235,4.999728050588235,85.87761067313524,46.22289731165697
2002,Least developed,3.7858042990719807,6.44064761904762,13.831971666666668,53.0464,82.63095044156563,73.11119751875346,77.8068100836259,41.71799416083952,8.689154992011474,49.592850571466805,55.50533333333333,20.6,31.804761904761904,28.548408854339623,0.44247533333333333,340.4743019435993,31.433333333333337,0.2593081761006289,26.932,4.7610982059071585,80.93699188232422,32.99758,78.46713892618813,36.27799522012905,47.754993335642894,11.035304515356126,75.70364023844401,0.9852235422414886,59.93333333333334,68.0,5.024873972452831,61.15769230769231,25.9458004520416
2003,Developed,5.1528307813550205,19.26234183333333,25.91923363970588,37.19180720890411,9.357270316388945,15.589041583666091,12.804466421702857,8.094299426849805,5.051616480651711,86.8540842687654,78.97006097560975,48.225,22.133928571428573,2941.65623474125,59.81976943877551,32037.5761927525,100.0,14.366249999999999,83.420625,60.06952693520522,94.92857142857144,90.95403991972476,100.84088318688532,97.74414927164712,44.23643843723505,21.41152619183258,92.28571428571428,1.0,4.5375,94.625,8.73151148875,99.17930107526882,98.38148219297885
2003,Developing,4.135955616935165,14.706252782310006,16.883532538699694,41.34355569019608,53.95763964966311,51.839162798105896,52.44427942508396,20.989254967653004,9.613385970488098,69.39735908195532,68.59115064562411,32.27058823529412,26.76571428571428,115.18063461058824,6.059288235294118,2099.649636563585,76.65882352941176,9.424982332155476,48.52764705882353,25.87998825924579,81.8769178797324,62.20545011508951,86.31073808792763,72.93278370234145,36.44941805226461,13.83810145651987,78.05565969110017,0.990201039808471,33.84705882352941,83.11764705882354,4.916932505294118,74.39409743278756,46.4876576376712
2003,Least developed,4.8231014423900165,7.1023564285714285,13.831971666666668,53.0464,81.98361242759057,72.4060393156641,77.11873328973087,41.71799416083952,8.689154992011474,49.592850571466805,55.632000000000005,21.166666666666668,31.804761904761904,28.75947478433962,0.6950333333333334,359.73933287192295,33.166666666666664,0.27264150943396226,26.997,4.9649015067647015,80.93699188232422,33.27643333333334,81.3777389526367,37.624334763789555,47.426881218777105,11.828320642238708,75.70364023844401,0.9852235422414886,57.53333333333333,71.66666666666667,4.86203608245283,63.27179487179487,26.59715281984853
2004,Developed,5.084438385381812,19.77484925,25.83450613970588,36.61826345890411,9.505664199157154,15.854250594939192,13.015998083636974,8.094299426849805,5.051616480651711,86.8540842687654,79.30128048780487,48.6875,22.133928571428573,3310.33109283375,64.98226943877552,36521.58100061078,100.0,14.03125,83.734875,60.668521667108294,94.92857142857144,90.57561741972478,100.88210345287713,97.74414927164712,44.39780823973011,21.56879519870373,92.28571428571428,1.0,4.4375,94.5,8.732238625,99.10430107526882,98.43216719901915
2004,Developing,4.163330937582622,15.433405714899102,17.57444984520124,39.76619226666667,53.75978248813944,50.91054359644521,51.69570829800801,20.989254967653004,9.613385970488098,69.39735908195532,68.79488091822094,32.811764705882354,26.76571428571428,130.23863138941178,8.071764705882353,2435.7649658576092,78.26470588235294,9.230276449802535,48.964588235294116,26.252250038512468,80.07426057292253,62.31660364450128,83.91644990970107,71.70042196492187,36.63191928570513,13.9796201629488,75.91581168943422,0.9685786083346608,32.49411764705882,85.29411764705883,4.834674044117647,77.61408530422479,46.75460371920709
2004,Least developed,3.7886743024543477,7.1023564285714285,13.831971666666668,53.0464,81.10373209563014,71.442893133567,76.18921017959856,41.71799416083952,8.689154992011474,49.592850571466805,56.434666666666665,21.666666666666668,31.804761904761904,30.000843394339626,0.8081,379.397510847102,32.0,0.18264150943396226,27.03633333333333,4.969698170684786,78.62466125488281,35.27781838383839,83.39429280547056,40.19393773009812,47.18849226979264,11.828320642238708,71.80242682562934,0.9901490281609924,55.76666666666667,77.33333333333333,4.8893316557861635,46.2051282051282,27.24761515516413
