Year,Country,"Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Life expectancy at birth, total (years)",Prevalence of overweight (% of adults),Prevalence of current tobacco use (% of adults),Current health expenditure per capita (current US$),Individuals using the Internet (% of population),GDP per capita (current US$),Access to electricity (% of population),ICT goods exports (% of total goods exports),Urban population (% of total population),"School enrollment, tertiary (% gross)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, secondary (% net)","Primary completion rate, total (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)","Labor force, female (% of total labor force)",Proportion of seats held by women in national parliaments (%),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Mortality rate, infant (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (% of GDP),Births attended by skilled health staff (% of total),People using safely managed drinking water services (% of population)
1985,Canada,6.18943023681641,,,,,,,,,,76.3273170731707,45.9,,,,14170.1249406067,,,76.354,,,,,,,,,,8.0,,,,
1984,Canada,6.61841011047363,,,,,,,,,,76.3319512195122,45.3,,,,13930.4745502555,,,76.195,,,,,,,,,,8.3,,,,
1983,Canada,6.85547018051147,,,,,,,,,,76.0604878048781,44.7,,,,13477.1031699599,,,76.035,,,,,,,,,,8.7,,,,
1982,Canada,6.49725008010864,,,,,,,,,,75.7251219512195,44.1,,,,12527.3135323802,,,75.874,,,,,,,,,,9.2,,,,
1981,Canada,6.409019947052,,,,,,,,,,75.4978048780488,43.5,,,,12379.0368643833,,,75.712,,,,,,,,,,9.7,,,,
1980,Canada,6.46289014816284,,,,,,,,,,75.1021951219512,42.9,,,,11208.2027394178,,,75.663,,,,,,,,,,10.3,,,,
2020,China,4.2333812713623,,,,45.05731070494,47.8058515722779,46.5624299239014,,,,78.077,,25.6,583.43218994,70.1,10408.7195541075,100.0,27.1,61.428,62.2367782592773,97.0,,,,44.928758127071,24.9411764705882,95.0,1.0,5.5,99.0,5.59359741,,
2019,China,4.05939483642578,,,,45.0252544695526,47.7063862431016,46.4931129383879,3.54971055780421,6.81721294175657,89.6330763010546,77.968,,25.7,539.6194458,64.1,10143.8602206165,100.0,26.48,60.308,57.2754402160645,,,,,44.9696835384367,24.9411764705882,,,6.0,99.0,5.3502779,,
2018,China,4.02442407608032,,,,45.4866118450817,48.2459366551606,47.0000000305852,,,,77.744,,25.7,504.79974365,59.2,9905.40638304527,100.0,27.37,59.152,54.0076217651367,,,,,44.8875840568371,24.8993288590604,,,6.4,99.0,5.16790485,,
2017,China,4.11133146286011,,,,46.1813616242351,49.0463708074892,47.7549947452673,,,,77.248,,,440.58850098,54.3,8817.04560829162,100.0,27.07,57.96,51.5827713012695,,,,,44.7976656424844,24.2476060191518,,,7.0,99.0,5.06592178,,
2016,China,4.20638513565063,,,,46.624490933233,49.60293230998,48.2627374155942,,,,77.218,32.3,,398.78921509,53.2,8094.39016735149,100.0,26.5,56.736,49.7083587646484,,,,,44.7142723712696,23.6228455559311,,,7.6,99.0,4.97955608,99.9,
2015,China,4.24201250076294,,,,47.0172768195376,50.1155918673717,48.723461496298,4.13279712445999,7.52589476453976,88.3413091635005,76.977,31.6,25.9,393.77990723,50.3,8016.44559489998,100.0,26.56,55.5,47.4353790283203,,,,,44.6442298239507,23.6228455559311,,,8.2,99.0,4.93827963,99.9,
2014,China,4.10536003112793,,,,47.3976561599822,50.6258764507238,49.1775171750508,,,,76.717,30.8,,363.00939941,47.9,7636.07434020616,100.0,25.94,54.259,43.8821907043457,,,,,44.5790200876779,23.40140609307,,,8.9,99.0,4.77790594,99.9,
2013,China,4.1298041343689,,,,47.9323982964851,51.2796808007331,49.7800269584053,,,,76.452,30.0,,329.78106689,45.8,7020.3860742288,100.0,27.42,53.013,32.7620315551758,,,,,44.5179668103247,23.40140609307,,,9.7,99.0,4.71490669,99.9,
2012,China,4.29788875579834,,,,48.544781813467,52.0113400535932,50.460230086417,,,,76.192,29.3,,285.31427002,42.3,6300.58217951734,99.9,27.06,51.765,29.3250408172607,,,,104.897132873535,44.4619314433437,21.3230355943586,,,10.5,99.0,4.56584787,99.8,
2011,China,3.80921697616577,,,,49.2668692748562,52.8344435215022,51.2399174617481,,,,75.903,28.5,,239.7543335,38.3,5614.38602225277,99.9,26.76,50.511,26.8075294494629,,,,105.29239654541,44.4145571875523,21.3230355943586,,,11.5,99.0,4.34274387,99.7,
2010,China,3.55966520309448,,,,50.1275129635084,53.8716230138718,52.19999617024,5.09855007586708,8.45468322056477,86.4467666901341,75.599,27.8,26.2,189.34370422,34.3,4550.47394356715,99.7,29.12,49.226,25.2860698699951,95.0,,104.896789550781,102.298698425293,44.3676802498121,21.325744894543,93.0,1.0,12.5,99.0,4.23068333,99.6,
2009,China,3.75152206420898,,,,51.0574037924046,55.0430483071896,53.2591416028646,,,,75.343,27.0,,165.29444885,28.9,3832.2274569094,99.1,29.65,47.88,23.2702102661133,,,105.660797119141,102.418449401855,44.4664928917656,21.325744894543,,,13.6,99.0,4.34958458,99.3,
2008,China,3.63178825378418,,,,51.9431825490111,56.1066074201141,54.2394152741919,,,,74.872,26.2,,134.2076416,22.6,3468.32706307504,98.8,27.71,46.539,21.8546905517578,,,105.020690917969,102.839599609375,44.5639231670214,21.325744894543,,,14.8,97.0,3.900002,99.1,
2007,China,2.70073485374451,,,,53.0011624673954,57.3212863346753,55.3802673004206,,,,74.762,25.5,,98.87766266,16.0,2693.95873160283,98.5,29.34,45.199,21.4464302062988,,,96.407600402832,103.203399658203,44.6615363074549,20.620992237597,,,16.1,93.0,3.67491412,98.4,
2006,China,2.44128441810608,,,,53.995663123613,58.6308193079709,56.5435193264195,,,,74.504,24.8,,82.79460144,10.5,2099.2194300499,98.2,30.72,43.868,20.509880065918,,,92.4162292480469,,44.7586051835889,20.2684563758389,,,17.7,93.0,3.94742203,97.8,
2005,China,2.39190554618835,,,,54.9315630844034,59.8554726013372,57.6329443657273,,,,74.111,24.1,26.6,73.29019928,8.52,1753.41419160544,97.9,30.72,42.522,18.5551490783691,,,,,44.8576527674985,20.2684563758389,,,19.4,87.0,4.17605019,97.5,
2004,China,,,,,55.8270990511453,61.0059478339501,58.663193932762,,,,73.748,23.4,,64.54340363,7.3,1508.66791560781,97.7,29.96,41.144,16.7798404693604,,,,,44.9590627737606,20.2345058626466,,,21.4,87.0,4.29347467,97.3,
2003,China,,,,,56.8208515621425,62.1636743368669,59.7412396940131,,,,73.371,22.7,,56.79228973,6.2,1288.63749134336,97.4,27.69,39.776,14.391209602356,,,,,45.0560297298443,20.2345058626466,,,23.5,86.0,4.41762781,95.9,
2002,China,,,,,57.7223055915824,63.2226727025881,60.7248476216232,,,,72.985,22.0,,50.15548325,4.6,1148.51425710711,97.2,24.03,38.425,11.7157096862793,,,,,45.1503055161292,21.7828418230563,,,25.7,86.0,4.38285255,96.7,
2001,China,,,,,58.5497741623078,64.1553523800278,61.6062672332078,,,,72.606,21.4,,44.56903839,2.64,1053.11231442789,97.0,20.0,37.093,9.22885990142822,,,,,45.2401581999134,21.7828418230563,,,27.8,86.0,4.25330067,97.3,
2000,China,,,,,59.3606347215495,65.0144606331815,62.440597329563,9.45105229809989,9.50514782134964,81.0437980147124,71.881,20.8,26.7,42.99362183,1.78,959.360431369138,96.7,17.71,35.877,7.55849981307983,91.0,,,,45.3248415708296,21.7828418230563,87.0,1.0,29.9,85.0,4.50828123,96.6,
1999,China,1.88803994655609,,11.42726,89.11563,60.1161713937329,65.8074761676837,63.2147240412885,,,,71.419,20.2,,,0.708,873.292336318005,,,34.865,6.62028980255127,,,,,45.3577203498664,21.8194024840551,,,31.9,85.0,,96.8,
1998,China,1.84432995319366,5.90241,,58.74403,60.8598153476165,66.5370444638951,63.9490353230921,,,,71.172,19.6,,,0.169,828.594691043134,,,33.867,6.2884202003479,,,,,45.387673337527,21.8194024840551,,,33.7,84.0,,,
1997,China,,,,,61.6365939492038,67.29714319754,64.7151126808734,,,,70.672,19.0,,,0.0324,781.74256121344,,,32.883,5.82305002212524,,,93.2278594970703,64.1015396118164,45.4165994881569,,,,35.4,84.0,,93.8,
1996,China,1.85338997840881,,,,62.4487555135516,68.1352518170924,65.5401148339001,,,,70.266,18.5,,,0.0131,709.415888233368,,,31.916,5.29578018188477,,,92.4314270019531,61.8718185424805,45.4457524287103,,,,37.0,83.0,,93.1,
1995,China,1.84192001819611,,,,63.3578560474675,69.0814034692732,66.4682079075884,,,,70.008,17.9,,,0.00495,609.604337927454,,,30.961,4.67359018325806,,,96.9153366088867,61.9971504211426,45.4737367610207,,,,38.5,80.0,,89.3,
1994,China,1.98571002483368,,,,64.2861872047242,70.0680009647833,67.4269413864465,,,,69.52,17.4,,,0.00117,473.489916407064,,,30.024,3.77981996536255,,,87.988151550293,61.4827308654785,45.501830321166,,,,39.9,85.0,,90.4,
1993,China,1.65785002708435,,,,65.1471577806382,71.0094382033305,68.3306682952162,,,,69.216,16.9,,,0.000169,377.3898394789,,,29.103,2.93639993667603,,,92.2875823974609,64.8498764038086,45.5309644544275,,,,41.0,88.0,,83.6,
1992,China,1.65455996990204,,,,65.9080465273323,71.8439117031072,69.1308374546048,,,,68.734,16.4,,,,366.460692306116,,,28.2,2.8197500705719,,,93.7192001342773,62.9394187927246,45.5624123091037,,,,41.9,91.0,,84.1,
1991,China,,,,,66.466705944992,72.465208905628,69.7214885798032,,,,68.169,15.9,,,,333.142145400184,,,27.312,2.88530993461609,,,100.186096191406,58.0582618713379,45.5957216671367,,,,42.5,94.0,,93.7,
1990,China,,,,,,,,,,,68.005,15.4,,,0.0,317.884673040928,,,26.442,3.00149011611938,78.0,,106.381492614746,56.7808418273926,45.6308235010115,,68.0,1.0,42.8,97.0,,94.0,
1989,China,,,,,,,,,,,67.838,15.0,,,,310.8819124049,,,25.701,3.01467990875244,,,110.748641967773,,,,,,42.8,95.0,,,
1988,China,1.76417994499207,,,,,,,,,,67.581,14.5,,,,283.537695240524,,,24.974,3.08643007278442,,,,,,,,,42.6,95.0,,,
1987,China,1.80425000190735,,,,,,,,,,67.288,14.1,,,,251.811956961329,,,24.259,3.04913997650146,,,,,,,,,42.2,75.0,,,
1986,China,2.06154990196228,,,,,,,,,,66.97,13.6,,,,281.928120911563,,,23.559,2.77602005004883,,,,,,,,,42.0,78.0,,,
1985,China,2.00814008712769,,,,,,,,,,66.643,13.2,,,,294.45884850496,,,22.874,2.19178009033203,,,,,,,,,41.9,78.0,,,
1984,China,1.99863004684448,,,,,,,,,,66.3,12.8,,,,250.713969046988,,,22.203,1.90454995632172,,,,,,,,,42.2,73.0,,,
1983,China,2.07692003250122,,,,,,,,,,65.904,12.4,,,,225.431928890812,,,21.545,,,,,,,,,,42.8,58.0,,,
1982,China,2.03448009490967,,,,,,,,,,65.463,12.0,,,,203.334919503464,,,20.902,,66.0,,,,,,51.0,1.0,43.7,,,,
1981,China,1.94880998134613,,,,,,,,,,64.975,11.7,,,,197.071474499102,,,20.118,2.03558993339539,,,,,,,,,45.1,,,,
1980,China,1.91190004348755,,,,,,,,,,64.42,11.3,,,,194.804722186836,,,19.358,1.27926003932953,,,,,,,,,46.8,,,,
2020,Cuba,,,,,20.7324596077077,33.3949016503361,28.3372654104465,,,,77.567,,17.9,1186.15649414,71.1,9605.26125067263,99.9,,77.194,45.9299087524414,,,94.6259384155273,91.1084213256836,39.9589128869259,53.2231404958678,,,5.6,99.0,12.48639679,,
2019,Cuba,9.04696941375732,,,,20.690493340363,32.9363340724071,28.0234317900156,9.21507185480928,7.47764328278062,83.3072850613784,77.611,,18.7,1013.10137939,68.0,9232.26115935183,99.8,,77.109,43.9937782287598,97.6549072265625,,90.4958190917969,91.0324096679688,40.1680620756744,53.2231404958678,96.3534317016602,1.00177001953125,5.4,99.0,11.08496857,100.0,
2018,Cuba,,,,,20.1481487303994,32.1702279820195,27.3407337193186,,,,77.496,,18.7,973.13745117,62.7,8911.46205964193,99.6,,77.037,41.5943794250488,,84.18162,90.7940368652344,91.1741104125977,40.221426052219,53.2231404958678,,,5.2,99.0,11.0184288,99.9,
2017,Cuba,,,,,19.7666152892821,31.680726834898,26.8995183870688,,,,77.529,,,980.09216309,57.1,8610.60829531998,99.4,,76.977,40.4316596984863,,84.18099,95.2266311645508,89.8325271606445,40.1059337071131,48.8562091503268,,,5.0,99.0,11.47197342,99.9,
2016,Cuba,9.01313304901123,,,,18.9482050864318,30.0297750804925,25.6048328672824,,,,77.643,58.5,,984.24865723,43.0,8110.55873961397,99.2,,76.93,34.4567909240723,,84.18424,94.9306030273438,86.2761306762695,40.0038638010142,48.8562091503268,,,4.9,99.0,12.2177515,99.9,
2015,Cuba,8.96333694458008,,,,18.2432834902223,28.5250271169234,24.4237468852186,8.43470486183684,7.89808301098523,83.6672134750582,77.772,57.9,22.0,985.41900635,37.3,7727.91997207998,99.0,,76.896,36.2177200317383,,83.56161,95.6020126342773,87.3251876831055,39.961841037562,48.8562091503268,,,4.8,99.0,12.81401348,99.9,
2014,Cuba,9.6074686050415,,,,17.3421286381501,26.8300416026297,23.0854269774416,,,,77.853,57.3,,864.15557861,29.1,7146.70459051328,98.7,,76.861,40.5119895935059,,85.14799,95.0668487548828,91.2008819580078,39.6407054879472,48.8562091503268,,,4.8,99.0,12.1412344,99.4,
2013,Cuba,10.6716957092285,,,,15.8401545346123,25.3986226836118,21.6312878789401,,,,77.87,56.8,,710.793396,27.9,6828.36428245396,98.5,,76.827,47.9959983825684,,87.24085,91.0880432128906,91.5236434936523,39.5173788041359,48.8562091503268,,,4.7,99.0,10.43099499,99.9,
2012,Cuba,11.5516605377197,,,,14.8028743045311,24.1859686631684,20.5071133065711,,,,77.833,56.2,,601.42425537,21.2,6470.83673392653,98.3,,76.781,61.7317886352539,100.0,86.64642,92.5005569458008,92.8323669433594,39.2688797151172,45.221843003413,100.0,1.0,4.8,99.0,9.29940987,99.9,
2011,Cuba,,,,,13.7446070299532,21.5749492269414,18.532570218946,,,,77.76,55.6,,695.99157715,16.0,6104.46105236166,98.0,,76.689,79.0247268676758,,87.90295,94.8154907226562,87.2601089477539,38.9859365808478,45.221843003413,,,4.8,97.0,11.31298637,99.9,
2010,Cuba,12.8373098373413,49.06773,51.85674,,8.58983845752996,13.8601715867909,11.8246558623949,7.22610716888934,7.7498903898818,85.0240003075382,77.661,55.0,27.0,608.96154785,15.9,5272.26755824835,97.8,,76.597,94.1727066040039,,88.24106,95.3740692138672,94.6430587768555,38.704824212407,43.1596091205212,,,4.9,96.0,10.6880827,99.9,
2009,Cuba,13.1248598098755,43.20693,50.73605,,8.45132380385964,13.6704698686717,11.6571905944413,,,,77.548,54.4,,676.22460938,14.3,5089.23519757167,97.6,,76.505,114.488418579102,,85.67697,97.2666473388672,94.9707794189453,38.7003941205138,43.1596091205212,,,5.0,96.0,12.29053974,99.9,
2008,Cuba,14.0590801239014,46.18943,53.62812,,8.83075987738925,14.2390016970519,12.1680532530279,,,,77.429,53.8,,610.09155273,12.9,4986.12436479175,97.3,,76.413,117.719940185547,,87.50112,91.9282302856445,94.6473922729492,38.4403338495139,43.1596091205212,,,5.1,95.0,11.31422806,99.9,
2007,Cuba,11.8682098388672,45.57016,53.50966,38.78069,8.57834924889708,13.9514959626065,11.9091054562199,,,,77.307,53.2,,570.31433105,11.7,4807.43888960684,97.1,,76.32,105.414001464844,,88.32925,97.9003219604492,92.7613372802734,38.0432839064082,35.9605911330049,,,5.3,93.0,10.9674921,99.9,
2006,Cuba,9.05716991424561,33.60052,42.70407,34.25549,9.05476383983168,14.7144723367382,12.6025403464243,,,,77.179,52.6,,387.44146729,11.2,4329.98265964383,96.9,0.68,76.227,84.9542770385742,,88.66745,97.3103103637695,93.7919235229492,37.4312248024406,35.9605911330049,,,5.4,89.0,8.2719059,99.9,
2005,Cuba,10.5577802658081,40.26802,47.773,55.5874,9.96043580011855,16.1312143889606,13.8846006306079,,,,77.047,52.0,33.2,331.98812866,9.74,3786.33799225291,96.8,0.86,76.134,60.205940246582,,86.64633,97.1291122436523,96.6388473510742,36.5041579549939,35.9605911330049,,,5.6,89.0,8.75525475,99.9,
2004,Cuba,10.2682304382324,40.48471,44.23533,63.45028,10.141914938511,16.4277294111637,14.1959528511142,,,,76.912,51.4,,232.50595093,8.41,3399.21962893402,96.6,0.86,76.041,52.4897499084473,,85.1098,95.373420715332,91.7412185668945,35.6339444927072,35.9605911330049,,,5.9,88.0,6.83178711,99.9,
2003,Cuba,9.9408597946167,,,,9.94835960404953,16.0018424988973,13.8989464569141,,,,76.773,50.8,,227.69859314,5.24,3202.78109865637,96.5,1.98,75.947,32.5828590393066,,85.11799,96.3590393066406,92.8381118774414,35.1368354828562,35.9605911330049,,,6.1,72.0,7.10295439,99.9,
2002,Cuba,9.57116985321045,37.25261,44.06536,98.29621,9.19800206144518,14.7590461420862,12.8527008660386,,,,76.612,50.2,,213.95626831,3.77,3005.21104247868,95.5,0.29,75.785,27.4472808837891,100.0,82.60463,99.2477035522461,90.596321105957,34.7699084570469,27.6206322795341,100.0,1.0,6.3,99.0,7.11481619,99.9,
2001,Cuba,8.3580904006958,28.87794,40.58853,89.66026,9.2418628626801,14.6336874518045,12.8045130472371,,,,76.421,49.6,,198.5879364,1.08,2842.96704310394,96.2,0.19,75.555,26.1085300445557,,82.25167,96.3328628540039,84.8513107299805,34.5516121907942,27.6206322795341,,,6.6,98.0,6.9820981,99.9,
2000,Cuba,7.70481014251709,28.28703,41.19862,94.93268,8.41725768720526,13.1641999429354,11.591535988734,8.82967451371772,9.91827976362931,81.2520436121103,76.183,48.9,40.8,181.14724731,0.541,2751.3817714814,97.0,0.08,75.323,23.0279693603516,,80.49006,98.2687225341797,93.5095901489258,34.213718631436,27.6206322795341,,,6.9,95.0,6.58189821,99.9,
1999,Cuba,6.75523996353149,25.03074,37.13297,77.69065,8.08255572926854,12.489561139873,11.0623045328442,,,,75.893,48.3,,,0.315,2561.77980406838,,,75.089,21.1659107208252,,75.76883,97.3878479003906,81.4551162719727,33.6952597971554,27.6206322795341,,,7.2,95.0,,99.9,
1998,Cuba,6.20873022079468,22.22913,,107.68284,7.00528057229382,10.8107522645378,9.59466882235281,,,,75.564,47.7,,,0.227,2332.30656133119,,,74.855,13.4842596054077,,,,,33.1605589881028,27.6206322795341,,,7.5,99.0,,99.9,
1997,Cuba,,,,,6.1502313174676,9.46420945996999,8.4210592899006,,,,75.222,47.1,,,0.0682,2306.42483397336,,,74.618,13.2988901138306,,,,80.2661819458008,33.0631188455507,22.7504244482173,,,7.8,99.0,,99.9,
1996,Cuba,,,,,5.37911141540455,8.29927229374773,7.39525007580071,,,,74.903,46.4,,,0.0319,2282.18809324202,,,74.426,13.4110298156738,,,95.3645095825195,75.683723449707,32.8062987728335,,,,8.2,90.0,,99.8,
1995,Cuba,,,,,5.58898246296683,8.61358085613171,7.69597169462377,,,,74.623,45.8,,,9.17e-05,2785.24442954103,,,74.277,14.2646903991699,,,93.7131271362305,76.0321884155273,32.222873387506,,,,8.5,99.0,,99.8,
1994,Cuba,5.61948013305664,,,,5.51839464882943,8.56095098454198,7.64588062950065,,,,74.411,45.2,,,,2613.28971869122,,,74.127,16.7018394470215,,59.87241,95.9380111694336,79.2537078857422,32.0566521631786,,,,8.9,99.0,,99.8,
1993,Cuba,7.07476997375488,,,,5.59930341851337,8.72903215037721,7.78934121540184,,,,74.261,44.5,,,,2063.20366253587,,,73.977,17.9441394805908,,,96.357063293457,78.9089736938477,32.0907544409387,,,,9.4,99.0,,99.8,
1992,Cuba,,,,,5.4529818223477,8.58360990664657,7.59674049785967,,,,74.162,43.9,,,,2047.67900346421,,,73.827,19.6843605041504,,66.64532,94.9227676391602,82.845458984375,33.5174401288131,,,,9.8,94.0,,99.8,
1991,Cuba,7.14496994018555,,,,5.34051820727235,8.49162824932033,7.4588821320757,,,,74.093,43.2,,,,2268.83493247194,,,73.676,20.8712291717529,,68.55566,98.2034225463867,89.223503112793,34.6912748071509,,,,10.3,99.0,,99.8,
1990,Cuba,,,,,,,,,,,74.039,42.5,,,0.0,2694.31697957692,,,73.364,20.6687107086182,,68.61211,95.2527084350586,85.5855712890625,35.8176496031246,,,,10.9,92.0,,99.8,
1989,Cuba,,,,,,,,,,,73.981,41.8,,,,2565.54117909344,,,72.888,21.2338104248047,,68.64962,98.8664016723633,84.1663131713867,,,,,11.4,96.0,,,
1988,Cuba,,,,,,,,,,,73.913,41.1,,,,2632.04176839158,,,72.408,22.0765705108643,,67.3895,99.088996887207,79.9939498901367,,,,,12.0,98.0,,,
1987,Cuba,,,,,,,,,,,73.825,40.4,,,,2439.58400332393,,,71.921,21.5239105224609,,66.90236,101.219520568848,76.525520324707,,,,,12.7,87.0,,,
1986,Cuba,,,,,,,,,,,73.725,39.7,,,,2364.89559789307,,,71.43,19.799919128418,,67.6805,99.032096862793,81.4147872924805,,,,,13.3,99.0,,,
1985,Cuba,,,,,,,,,,,73.605,38.9,,,,2256.56948668495,,,70.933,18.1494998931885,,,100.597297668457,74.6725616455078,,,,,14.0,91.0,,,
1984,Cuba,,,,,,,,,,,73.468,38.2,,,,2386.44595066854,,,70.433,17.0607109069824,,,100.801612854004,76.6263580322266,,,,,14.7,86.0,,,
1983,Cuba,,,,,,,,,,,73.309,37.5,,,,2222.48851241339,,,69.925,16.1264495849609,,,94.6316604614258,77.3394927978516,,,,,15.5,99.0,,,
1982,Cuba,,,,,,,,,,,73.13,36.7,,,,2113.80858874548,,,69.414,16.4182395935059,,,86.4917678833008,82.367317199707,,,,,16.3,99.0,,,
1981,Cuba,,,,,,,,,,,72.939,35.9,,,,2045.85231227999,,,68.853,16.1866302490234,98.0,,95.7624816894531,77.3787536621094,,,,,17.1,68.0,,,
1980,Cuba,8.36909008026123,,,,,,,,,,72.752,35.2,,,,2030.93362280165,,,68.106,16.5913200378418,,,104.262977600098,77.2156600952148,,,,,18.0,67.0,,,
2020,Germany,5.59038019180298,,,,6.53356944846975,10.9199282352299,8.87520833578818,,,,81.0414634146342,,22.0,5936.25146484,89.8,47379.765194548,100.0,5.17,77.453,72.3894195556641,,,98.3834915161133,,46.4249681089747,31.1706629055007,,,3.1,91.0,12.69255257,,99.9126502107578
2019,Germany,5.11552000045776,,,,7.04883257243041,11.7710562984356,9.57551185275638,4.7599854163992,4.64167927814672,90.5983327596301,81.2926829268293,,22.5,5486.98876953,88.1,47623.8656074829,100.0,4.9,77.376,72.705078125,,,99.6325531005859,,46.2845280945456,30.8885754583921,,,3.2,91.0,11.71550655,96.2,99.9093444594773
2018,Germany,4.97933006286621,,,,7.29031869561163,12.1987511952656,9.91917718492462,,,,80.8926829268293,,22.5,5511.21435547,87.0,48874.8595028454,100.0,4.96,77.312,69.1634292602539,,,98.5883712768555,,46.2119025162633,30.7475317348378,,,3.2,91.0,11.48051548,96.2,99.9061155783909
2017,Germany,4.87182998657227,,,,7.53035761232511,12.6869963105945,10.2871381376284,,,,80.9926829268293,,,5070.19580078,84.4,45526.5999576533,100.0,4.96,77.261,68.4692306518555,,85.29882,97.5730667114258,,46.3157707458762,30.7475317348378,,,3.2,91.0,11.33617592,97.1,99.9029467901847
2016,Germany,4.83923006057739,17.44257,22.95939,33.58129,7.64746393740943,13.0217810034486,10.526799358182,,,,80.990243902439,56.8,,4746.87011719,84.2,42961.0356905775,100.0,4.71,77.224,67.9464111328125,,85.46939,99.6975326538086,,46.2396838705807,36.4500792393027,,,3.3,91.0,11.241889,96.2,99.8998405268407
2015,Germany,4.85515022277832,17.50845,23.00137,33.95677,7.71511066367867,13.3001044007896,10.7089508805784,5.00682305682493,3.94692920225668,91.0462466946146,80.6414634146341,56.4,24.9,4627.35791016,87.6,41911.0109851054,100.0,4.65,77.2,68.23291015625,,86.12309,102.09285736084,,46.1974522433232,36.4500792393027,,,3.3,93.0,11.19047737,97.1,99.8967748879838
2014,Germany,4.92102003097534,17.6705,23.19245,36.11148,7.87583461150614,13.5446525156279,10.9126138123479,,,,81.090243902439,56.0,,5309.15478516,86.2,48971.0824722599,100.0,4.52,77.19,65.1844787597656,,86.63283,99.4884567260742,,46.2597352645934,36.4500792393027,,,3.3,93.0,11.02588272,96.9,99.8937530093415
2013,Germany,4.93538999557495,17.55396,23.18698,37.25767,8.00640493899275,13.8796121817616,11.1578210140892,,,,80.490243902439,55.7,,5100.15234375,84.2,47220.0102098851,100.0,4.33,77.18,60.8984489440918,,87.32363,101.998260498047,,46.1824165824575,36.4500792393027,,,3.3,93.0,10.99905777,96.9,99.8907299827412
2012,Germany,4.92844009399414,17.32327,23.04534,39.53355,8.28658975412548,14.4547177173458,11.6062335194672,,,,80.5390243902439,55.3,,4765.67871094,82.4,44735.5882319701,100.0,4.51,77.17,,,88.0323,101.78581237793,,46.1102625156838,32.9032258064516,,,3.4,95.0,10.85345554,97.0,99.8877153712737
2011,Germany,4.98425006866455,17.05452,22.84118,,8.42768894052242,14.5704669756183,11.7164958034495,,,,80.4365853658537,54.9,,5037.49169922,81.3,47646.582043143,100.0,4.64,77.16,,,88.47512,103.57341003418,,46.3331907686789,32.9032258064516,,,3.4,95.0,10.77844906,96.9,99.8847042063294
2010,Germany,5.09588003158569,17.66182,23.88146,,7.9413912796639,13.9946935155962,11.2103307129589,4.63146515804543,3.86786151573768,91.500669582915,79.9878048780488,54.6,28.3,4611.421875,82.0,42409.9356994694,100.0,5.28,76.966,,,88.12181,101.365608215332,,45.7755529719498,32.7974276527331,,,3.5,96.0,11.09592915,96.8,99.8815299716736
2009,Germany,4.34005403518677,17.1887,23.85787,,8.23087393948247,14.3539508158677,11.5309099208015,,,,79.8365853658537,54.2,,4674.91943359,79.0,42487.2137101496,100.0,5.16,76.771,,,88.17308,103.730346679688,,45.9094330060469,32.7974276527331,,,3.5,96.0,11.23791218,98.3,99.8784502970369
2008,Germany,4.54924011230469,15.10081,21.07791,,8.38943167165768,14.0106148508794,11.4632686103844,,,,79.7365853658537,53.9,,4669.76025391,78.0,46386.3295924799,100.0,5.42,76.575,,,89.52043,102.597763061523,,45.4223035848423,32.1895424836601,,,3.6,96.0,10.25128746,98.5,99.8754566685522
2007,Germany,3.92246603965759,15.13138,21.09132,,8.81292132881152,14.3984007310877,11.8503563127469,,,,79.5341463414634,53.5,,4182.91601563,75.2,42350.9217211489,100.0,5.89,76.378,,,89.12277,101.797348022461,,45.6390989388751,31.6476345840131,,,3.7,96.0,10.05132961,98.4,99.8688815544332
2006,Germany,4.02527379989624,15.60472,20.29257,,9.14063099659013,15.13960103046,12.4158810978194,,,,79.1317073170732,53.1,,3698.04370117,72.2,36980.3349948954,100.0,7.38,76.179,,,89.71943,99.3259124755859,,45.4014484954067,31.5960912052117,,,3.8,96.0,10.17995167,98.4,99.8623389775668
2005,Germany,4.10731077194214,,,,9.11114331913155,14.849000571343,12.2575016472396,,,,78.9317073170732,52.7,32.1,3558.21337891,68.7,35084.4363546269,100.0,7.9,75.98,,,90.09314,101.014038085938,,45.037718467285,31.7589576547231,,,3.9,96.0,10.31153965,98.2,99.8558293374314
2004,Germany,4.10064888000488,,,,8.91290201857223,14.6708539466396,12.0704432973995,,,,78.6804878048781,52.4,,3459.82495117,64.7,34566.7359143735,100.0,7.94,75.779,,,89.76944,103.006607055664,,44.8366592941899,32.75,,,4.0,96.0,10.14603233,98.2,99.8493488815184
